name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 6728,55270,Valid,L,599,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6729,54601,Valid,H~4,113,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6730,54599,Valid,Eucrite,51,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6731,54666,Valid,Eucrite-cm,13.7,Found,01/01/2007 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6732,53764,Valid,L6,200.9,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6733,53765,Valid,H5,2335,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6734,54600,Valid,EL6,50.3,Found,01/01/2004 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6735,55723,Valid,L/LL4,44,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6736,53766,Valid,L6,165,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6737,54602,Valid,H~5,324,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6738,54603,Valid,H~5,179.6,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6739,54604,Valid,H~5,133.4,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6740,54605,Valid,L~6,126,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6741,54606,Valid,L~6,585,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6747,54607,Valid,H~6,8300,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6811,53722,Valid,L6,1158.2,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6812,53723,Valid,H5,681,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6813,53724,Valid,LL6,155.80000000000001,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6814,53725,Valid,LL6,111.45,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6815,53726,Valid,H6,857.3,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6816,53727,Valid,L6,6859.4,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6817,53730,Valid,Howardite,1131,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6818,53807,Valid,Ureilite,132.44999999999999,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
